condition name,,,,
Missing,Cond,,,
Mark tooth as absent,Cond,,,
No Gap,Cond,,,
Caries,Cond,,,
Watch,Cond,,,
Wear,Cond,,,
Split Cusp,Cond,,,
Open Contact,Cond,,,
Over Hang,Cond,,,
Mobile,Cond,,,
Supernumery (extra tooth),Cond,,,
Exisiting Root Canal TH 1. Canal,Cond,,,
Exisiting Root Canal TH 2. Canal,Cond,,,
Exisiting Root Canal TH 3. Canal,Cond,,,
To be extracted,Cond,,,
Partially Errupted,Cond,,,
Enamel Dysplasia,Cond,,,
Crowded,Cond,,,
Guarded,Cond,,,
Poor,Cond,,,
Existing implant,Cond,,,
Infection,Cond,,,
Infection Gum,Cond,,,
Grinding / Wear,Cond,,,
