Item Number,Item Title,Item Description,Treatment Friendly Name,Private,Medicare,Vet Affairs,VGDS,VGDS PAT,Surfaces,,,,,,,,,,,,,,,,
11,Comprehensive oral examination,"A comprehensive evaluation and recording of the current status of the dentition, mouth and associated structures performed on a patient.",Initial examination,80,25.2,59.8,25.55,4,-,,,,,,,,,,,,,,,,
12,Periodic oral examination,"An evaluation of the dentition, mouth and associated structures performed on a patient of record to determine any changes in the patient’s oral and medical health status since a previous comprehensive or periodic examination.",Examination periodic,60,23.1,49.65,0,0,-,,,,,,,,,,,,,,,,
13,Oral examination – limited,"A limited evaluation of the dentition, mouth and associated structures performed on a patient. This may be for a specific oral health problem or complaint.",Emergency Oral Examination ,50,0,31.25,19.05,0,-,,,,,,,,,,,,,,,,
14,Consultation,A consultation to seek advice or discuss treatment options regarding a specific dental or oral condition.,Consultation including examination,95,28,0,0,0,-,,,,,,,,,,,,,,,,
15,Consultation – extended (30 minutes or more),An extended consultation to seek advice or discuss treatment options regarding a specific dental or oral complaint.,Extended Consultation,130,0,105.6,0,0,-,,,,,,,,,,,,,,,,
16,Consultation by referral,A consultation with a patient referred by a dental or medical practitioner for an opinion or management of a specific dental disorder.,Consultation by referral ,65,0,116.7,0,0,-,,,,,,,,,,,,,,,,
17,Consultation by referral – extended (30 minutes or more),An extended consultation with a patient referred by a dental or medical practitioner for an opinion or management of a specific dental disorder.,Consultation by referral - extended,110,0,0,0,0,-,,,,,,,,,,,,,,,,
18,Written report (not elsewhere included),A written report not addressed to a referring practitioner involved in the patient’s care.,Written report ,140,0,50.55,0,0,-,,,,,,,,,,,,,,,,
19,Referral,The preparation of correspondence referring a patient to another practitioner and providing appropriate information.,Letter of referral,45,0,11.9,0,0,-,,,,,,,,,,,,,,,,
22,Intraoral radiograph – per exposure,Taking and interpreting an intraoral radiograph.,Intra Oral periapical x-ray,60,26,42.1,24.45,4,-,,,,,,,,,,,,,,,,
26,Cone Beam Computed Tomography – scan acquisition – per appointment,Acquisition of a Cone Beam Computed Tomography (CBCT) scan and the associated images.,CBCT scan per appointment,75,0,0,,,-,,,,,,,,,,,,,,,,
31,"Extraoral radiograph – maxillary, mandibular – per exposure",Taking and interpreting a radiograph of the upper and/or lower jaw using a film placed outside the mouth.,Extra Oral x-ray,100,0,75.3,0,0,,,,,,,,,,,,,,,,,
33,"Lateral, antero-posterior, postero-anterior or submento-vertex radiograph of the skull – per exposure","Taking and interpreting an extraoral radiograph of the head taken from the lateral, antero-posterior, postero-anterior or submento-vertex of the skull.",,,,,,,,,,,,,,,,,,,,,,,
35,Radiograph of temporomandibular joint – per exposure,Taking and interpreting a radiograph of the temporomandibular joint.,,,,,,,,,,,,,,,,,,,,,,,
36,"Cephalometric radiograph – lateral, antero-posterior, postero-anterior or submento-vertex – per exposure","Taking and interpreting a radiograph of the head taken from the side, the front or the back or through the vertex of the skull for the purpose of measurement and analysis.","Cephalometric x-ray (lat, ant-post, post-ant or sub ver)",130,0,0,0,0,,,,,,,,,,,,,,,,,
37,Panoramic radiograph – per exposure,Taking and interpreting an extraoral radiograph presenting a panoramic view of part or all of the mandible and/or maxilla and/or adjacent structures.,Panoramic x-ray (OPG) ,130,60,107.05,0,0,,,,,,,,,,,,,,,,,
38,Hand-wrist radiograph for skeletal age assessment,"Taking and interpreting a radiograph of the wrist bones, used to assess the degree of skeletal development and maturity.",,,,,,,,,,,,,,,,,,,,,,,
39,Computed Tomography of the skull or parts thereof,A radiograph is made of a region using tomographic X-ray equipment that may produce a series of diagnostic images.,Tomography of the skull or parts of,75,0,159.65,0,0,,,,,,,,,,,,,,,,,
41,Bacteriological examination,An examination for bacteria or other microorganisms in samples obtained from the patient.,,,,,,,,,,,,,,,,,,,,,,,
42,Culture examination and identification,A sample is taken from oral material and is cultured for examination and identification of the microorganisms present.,,,,,,,,,,,,,,,,,,,,,,,
43,Antibiotic sensitivity test,A laboratory procedure where a live culture of a suspected pathogen is challenged with antibiotic samples to determine the sensitivity or resistance of the microorganisms to the antibiotics tested.,,,,,,,,,,,,,,,,,,,,,,,
44,Collection of specimen for pathology examination,The non-surgical collection and preparation for transport of a specimen for examination at a pathology laboratory.,,,,,,,,,,,,,,,,,,,,,,,
47,Saliva screening test,Testing a saliva sample to assess its physiological properties.,Caries activity screening test,0,0,43.5,0,0,,,,,,,,,,,,,,,,,
48,Microbiological screening test,Microbiological assessment of a sample.,,,,,,,,,,,,,,,,,,,,,,,
51,Biopsy of tissue,A surgical procedure to obtain a sample of tissue for pathological examination.,Biopsy of tissue (sample of tissue) ,220,0,133.05,0,0,,,,,,,,,,,,,,,,,
52,Histopathological examination of tissue,A histopathological examination to determine the disease status of a section of tissue.,,,,,,,,,,,,,,,,,,,,,,,
53,Cytological investigation,A microscopic examination of cells obtained from a smear or in situ staining of a suspected lesion to determine any aberrant characteristics that may suggest that the lesion is malignant or related to some other condition.,,,,,,,,,,,,,,,,,,,,,,,
55,Blood collection,The collection of blood for diagnostic and/or treatment purposes.,,,,,,,,,,,,,,,,,,,,,,,
56,Haematological examination,The haematological examination of a blood sample.,,,,,,,,,,,,,,,,,,,,,,,
57,Procedures to derive biologically active components from a collection of blood,Deriving biologically active components for patient treatment by processing blood collected from the patient.,,,,,,,,,,,,,,,,,,,,,,,
59,Comprehensive head and neck cancer examination and risk assessment,"A specific comprehensive examination that consists of visual inspection and manual palpation of extraoral head and neck structures and intraoral soft tissues, and may involve indirect laryngoscopy or fibre-optic pharyngolaryngoscopy.",,,,,,,,,,,,,,,,,,,,,,,
61,Pulp testing – per appointment,A non-invasive test used to determine the clinical status of the pulp.,Pulp vitality testing,40,0,0,0,0,,,,,,,,,,,,,,,,,
71,Diagnostic model – per model,The production of a physical model from an impression or digital data.,Diagnostic Models - cost per model,95,27,64.9,0,0,,,,,,,,,,,,,,,,,
72,Photographic records – intraoral – per appointment,Photographic images inside the mouth.,Intra Oral photographic records,80,0,34.9,0,0,,,,,,,,,,,,,,,,,
73,Photographic records – extraoral – per appointment,Photographic images showing the face or a region of the head and neck outside the mouth.,Extra Oral photographic records,80,0,34.9,0,0,,,,,,,,,,,,,,,,,
74,Diagnostic modelling – physical – per tooth,Physical modelling (e.g. using wax or other material) to facilitate the development of treatment plan.,Diagnostic Wax up,825,0,170.85,0,0,,,,,,,,,,,,,,,,,
75,Diagnostic modelling – digital – per tooth,Digital modelling to facilitate the development of treatment plan.,Diagnostic Modeling,825,0,0,0,0,,,,,,,,,,,,,,,,,
76,Intraoral evaluation of diagnostic modelling – per tooth or tooth replacement,"A procedure utilising data from 074 or 075 to create an intraoral simulation of proposed treatment to evaluate function, aesthetics and other characteristics.",,,,,,,,,,,,,,,,,,,,,,,
81,Cephalometric analysis – excluding radiographs,The analysis of a cephalometric radiograph by measurement of specific biological landmarks.,,,,,,,,,,,,,,,,,,,,,,,
82,Tooth-jaw size prediction analysis,"The analysis of records, including radiographs and casts, to predict the relationship between the anticipated size of the mandible, the maxilla and the teeth that these bones have to accommodate.",,,,,,,,,,,,,,,,,,,,,,,
83,Tomographic analysis,The analysis of a tomograph by measurement of specific biological landmarks.,,,,,,,,,,,,,,,,,,,,,,,
87,Cone Beam Computed Tomography analysis and/or interpretation – small field of view (less than one complete dental arch),The analysis and/or interpretation of a cone beam computed scan with a limited field of view.,CBCT analysis and/or interpretation- small field of view,75,0,0,0,0,,,,,,,,,,,,,,,,,
88,Cone Beam Computed Tomography analysis and/or interpretation – maxillary or mandibular dentition (single arch),The analysis and/or interpretation of a cone beam computed scan of the maxillary or mandibular dentition and supporting alveolar structures.,CBCT analysis and/or interpretation- single arch ,75,0,0,0,0,,,,,,,,,,,,,,,,,
89,Cone Beam Computed Tomography analysis and/or interpretation – maxillary and mandibular dentition (both arches),The analysis and/or interpretation of a cone beam computed scan of the maxillary and mandibular dentition and supporting alveolar structures.,CBCT analysis and/or interpretation- full mouth,75,0,0,0,0,,,,,,,,,,,,,,,,,
90,Cone Beam Computed Tomography analysis and/or interpretation – temporomandibular joints only,The analysis and/or interpretation of a cone beam computed scan of the temporomandibular joints only.,,,,,,,,,,,,,,,,,,,,,,,
91,Cone Beam Computed Tomography analysis and/or interpretation – orofacial structures,The analysis and/or interpretation of a cone beam computed scan of the entire dentition and supporting alveolar structures.,,,,,,,,,,,,,,,,,,,,,,,
911,Palliative care – per appointment,"An item to describe interim care to relieve pain, infection, bleeding or other problems not associated with other treatment, per appointment.",Palliative care ,0,26,73.45,26.5,0,,,,,,,,,,,,,,,,,
